environment,state,action,previous_action,theta_old,theta_new,old_production_opt_action,new_production_opt_action,diagnostic_action_configured,old_production_margin_vs_diag,new_production_margin_vs_diag,diagnostic_information,expected_response_old,expected_response_new,operating_reward_old,operating_reward_new,one_step_net_reward_old,one_step_net_reward_new,parameter_sensitivity,fisher_proxy,variance_reduction_proxy,predictive_kl_old_new,switching_cost
toy2,0.0,0.0,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.05272431952466037,0.052724323971174415,0.05272431952466037,0.052724323971174415,0.05272431952466037,0.052724323971174415,2.4409243440967817e-17,2.7121381601075353e-14,2.7121381601075353e-14,1.0984159533314195e-14,0.0
toy2,0.0,0.01,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.07777144240806155,0.07777145204456114,0.07776644240806155,0.07776645204456113,0.07768644240806155,0.07768645204456114,1.146445979116054e-16,1.2738288656845045e-13,1.2738288656845045e-13,5.159006902239639e-14,8e-05
toy2,0.0,0.02,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.10790590101262104,0.10790592157309369,0.10788590101262104,0.10788592157309368,0.10756590101262103,0.10756592157309368,5.218926368048968e-16,5.798807075609965e-13,5.798807075609965e-13,2.348516862996553e-13,0.00032
toy2,0.0,0.03,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.1439010211832958,0.1439010643710907,0.14385602118329582,0.14385606437109072,0.14313602118329583,0.14313606437109072,2.302698304397972e-15,2.5585536715533023e-12,2.5585536715533023e-12,1.0362142377599214e-12,0.00072
toy2,0.0,0.04,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.18649000705001692,0.186490096360639,0.18641000705001692,0.18641009636063902,0.18513000705001692,0.185130096360639,9.847391631463927e-15,1.0941546257182142e-11,1.0941546257182142e-11,4.431326232505158e-12,0.00128
toy2,0.0,0.05,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.2362951776153847,0.2362953594427927,0.23617017761538472,0.23617035944279272,0.23417017761538472,0.2341703594427927,4.081630406924251e-14,4.5351448965825014e-11,4.5351448965825014e-11,1.8367336831558583e-11,0.0020000000000000005
toy2,0.0,0.06,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.2937454880028365,0.29374585244593443,0.2935654880028365,0.2935658524459344,0.2906854880028365,0.2906858524459344,1.639737921561349e-13,1.8219310239570543e-10,1.8219310239570543e-10,7.378820645727938e-11,0.00288
toy2,0.0,0.07,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.3589877312360775,0.35898845037742655,0.35874273123607753,0.35874345037742655,0.35482273123607755,0.3548234503774266,6.384744194289788e-13,7.094160215877542e-10,7.094160215877542e-10,2.8731348877723753e-10,0.003920000000000001
toy2,0.0,0.08,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.43179909839156766,0.4318004954447527,0.4314790983915677,0.4314804954447527,0.42635909839156766,0.4263604954447527,2.409577286071517e-12,2.6773080956350187e-09,2.6773080956350187e-09,1.0843097787729884e-09,0.00512
toy2,0.0,0.09,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.5115106108354979,0.5115132827697534,0.5111056108354979,0.5111082827697534,0.5046256108354978,0.5046282827697534,8.81386748893906e-12,9.793186098821178e-09,9.793186098821178e-09,3.966240370053391e-09,0.00648
toy2,0.0,0.1,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.5969519282774017,0.5969569592591841,0.5964519282774018,0.5964569592591842,0.5884519282774018,0.5884569592591842,3.1247873696407463e-11,3.471985966267496e-08,3.471985966267496e-08,1.4061543163770102e-08,0.008000000000000002
toy2,0.0,0.11,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.6864278247479391,0.6864371507148509,0.6858228247479391,0.6858321507148509,0.6761428247479391,0.6761521507148509,1.0737488745523732e-10,1.1930543050581924e-07,1.1930543050581924e-07,4.831869935588953e-08,0.009680000000000001
toy2,0.0,0.12,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.7777349763002793,0.7777519958922686,0.7770149763002793,0.7770319958922686,0.7654949763002793,0.7655119958922686,3.5761297713358587e-10,3.9734775237065097e-07,3.9734775237065097e-07,1.609258397123189e-07,0.01152
toy2,0.0,0.13,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.8682245751334858,0.8682551538017537,0.8673795751334858,0.8674101538017537,0.8538595751334859,0.8538901538017537,1.154388830906588e-09,1.2826542565628757e-06,1.2826542565628757e-06,5.194749739078857e-07,0.013520000000000003
toy2,0.0,0.14,0.0,0.1,1.0,0.197,0.7975,0.5,1.488658427396527,0.4504322959411631,2502.652181954852,0.9549118685988962,0.9549659567503781,0.9539318685988962,0.9539859567503781,0.9382518685988962,0.9383059567503781,3.611763124347326e-09,4.0130701381636955e-06,4.0130701381636955e-06,1.6252934059599497e-06,0.015680000000000003
